VNUM	LOCALE_NAME
101	Câine sãlbatic
102	Lup
103	Lup alpha
104	Lup albastru
105	Lup alpha albastru
106	Lup gri
107	Lup alpha gri
108	Mistreþ
109	Mistreþ roºu
110	Urs
111	Urs grizzly
112	Urs negru
113	Urs brun
114	Tigru
115	Tigru alb
131	Lup blestemat
132	Lup blestemat alpha
133	Lup blestemat albastru
134	Lup alpha albastru blestemat
135	Lup blestemat gri
136	Lup blestemat alpha gri
137	Mistreþ blestemat
138	Mistreþ blestemat roºu
139	Urs blestemat
140	Urs blestemat grizzly
141	Urs blestemat negru
142	Urs blestemat brun
143	Tigru blestemat
144	Tigru blestemat alb
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Câine sãlbatic flãmând
172	Lup flãmând
173	Lup flãmând alpha
174	Lup flãmând albastru
175	Lup flãmând alpha albast
176	Lup flãmând gri
177	Lup flãmând alpha gri
178	Mistreþ flãmânt
179	Mistreþ flãmânt roºu
180	Urs flãmând
181	Urs flãmând grizzly
182	Urs flãmând negru
183	Urs flãmând brun
184	Tigru flãmând
185	Tigru flãmând alb
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Amazoanã soldat
302	Amazoanã arcaº
303	Amazoanã general
304	Amazoanã comandant
331	Amazoanã soldat
332	Amazoanã arcaº
333	Amazoanã general
334	Amazoanã comandant
351	Amazoanã soldat laºã
352	Amazoanã arcaº laºã
353	Amazoanã general laºã
354	Amazoanã comandant laºã
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Tristul de Mi-Jung
396	Tristul de Eun-Jung
397	Tristul Se-Rang
398	Tristul Jin-Hee
401	Soldat vânt negru
402	Posedat de vânt negru
403	Arcaº vânt negru
404	Vânt negru Jak-To
405	Vânt negru To-Su
406	Vânt negru Gu-Ryung
431	Soldat de atac negru
432	Posedat de atac negru
433	Arcaº negru
434	Joh-Hwan de atac negru
435	Kyuk-Jan de atac negru
436	Pho-Hwan de atac negru
451	Soldat de atac negru rãu
452	Posedat de atac rãu
453	Arcaº de atac rãu
454	Joh-Hwan de atac rãu
455	Kyuk-Jang de atac rãu
456	Pho-Hwan de atac rãu
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Infanterist sãlbatic
502	Sãlbatic devotat
503	Arcaº sãlbatic
504	General sãlbatic
531	Soldat brutal
532	Posedat brutal
533	Arcaº brutal
534	Specialist brutal
551	Infanterist sãlbatic dur
552	Locotenent sãlbatic dur
553	Arcaº sãlbatic dur
554	General sãlbatic dur
591	Cãpitanul bestie
595	Geum-Chul brutal
601	Ork
602	Spion ork
603	Orc luptãtor
604	Orc vrãjitor
631	Orc elite
632	Orc elite cercetaº
633	Orc elite luptãtor
634	Orc elite vrãjitor
635	Orc elite general
636	Orc negru
637	Orc negru uriaº
651	Orc mare curajos
652	Orc mare cercetaº
653	Orc mare luptãtor
654	Orc mare vrãjitor
655	Orc mare general
656	Orc negru curajos
657	Orc negru gigant
691	Orc ºef blestemat
692	Orc alb
693	Orc blestemat
701	Fanatic întunecat
702	Arahan întunecat
703	Luptãtor întunecat
704	Arahan întunecat super.
705	Cãlãu întunecat
706	Despot întunecat
707	Încântãtor întunecat
731	Fanatic mândru întunecat
732	Arahan întunecat mândru
733	Luptãtor întunecat mândru
734	Colonel Întunecat mândru
735	Puºcaº malefic mândru
736	Despot întunecat mândru
737	Vrãjitor întunecat mândru
751	Fanatic înalt
752	Arahan înalt
753	Luptãtor arahan înalt
754	Superior arahan înalt
755	Cãlãu înalt
756	Despot înalt
757	Încântãtor înalt
771	Fanatic brutal
772	Arahan brutal
773	Luptãtor arahan brutal
774	Arahan superior brutal
775	Cãlãu brutal
776	Despot brutal
777	Incântãtor brutal
791	Conducãtor întunecat
792	Conducãtor spirit negru
793	Conducãtor întun. elitã
794	Strigoi întunecat
795	Luptãtor de elitã
796	Lupt. întunec. de elitã
901	Spiritul cadavrului
902	Câine al ciumei
903	Om al ciumei
904	Luptãtor sabie al ciumei
905	Luptãtor suliþã al ciume
906	Arcaº al ciumei
907	Comandant al ciumei
931	Spirit cadavru furios
932	Câine al ciumei sãlbatic
933	Om al ciumei sãlbatic
934	Luptãtor al ciumei sãlb.
935	Lupt. suliþã al cium. s.
936	Arcaº al ciumei sãlbatic
937	Com. al ciumei furios
991	Ou al ciumei
992	Purtãtor de ciumã
993	Purtãtor de ciumã uriaº
1001	Soldat demon
1002	Arcaº demon
1003	Demon suliþã
1004	Demon ºaman
1031	Soldat comun
1032	Arcaº comun
1033	Luptãþor suliþã comun
1034	ªaman comun
1035	Spiritul mâniei
1036	Spiritul haosului
1037	Demon comandant comun
1038	Maestru craniu sabie
1039	Craniu zburãtor
1040	Spirit nemuritor
1041	Animal demonic
1061	Spirit soldat comun
1062	Spirit arcaº comun
1063	Spirit luptãtor comun
1064	Spirit ºaman comun
1065	Spirit al mâniei comun
1066	Spirit al haosului comun
1067	Spirit comandant comun
1068	Samurai fantomã
1069	Craniu zburãtor comun
1070	Spirit nemuritor
1071	Animal demonic
1091	Demon rege
1092	Demon rege mândru
1093	Îngerul cu coasã
1094	Demon rege comun
1095	Moarte albastrã
1096	????
1101	Gheaþã fermecatã
1102	Balenã ucigaºã de gheaþã
1103	Insectã de gheaþã
1104	Leu de gheaþã
1105	Om îngheþat
1106	Yeti
1107	Golem de gheaþã
1131	Aºchii de gheaþã lumea din jos
1132	Balenã ucigaºã de gheaþã
1133	Insectã îngheþã
1134	Leu de gheaþã din lumea de jos
1135	Omul gheþii lumii de jos
1136	Yeti sãlbatic
1137	Golem de gheaþã subteran
1151	Diavol de gheaþã
1152	Balena corn de gheaþã
1153	Insectã de gheaþã
1154	Seol-Gu
1155	Omul gheþii
1156	Gigant de gheaþã
1157	Golem de gheaþã
1171	Gheaþã fermecatã rea
1172	Balenã cu corn de gheaþã rea
1173	Insectã de gheaþã rea
1174	Leu de gheaþã rãu
1175	Om rãu de gheaþã
1176	Yeti rãu
1177	Golem de gheaþã puternic
1191	Vrãjitoare de gheaþã
1192	Vrajitoare rea de gheaþã
1301	Soldat brotac
1302	General brotac
1303	Cãpcãun
1304	Fantoma tigrului galben
1305	General broascã taur
1331	Soldat brotac mare
1332	Liderul general brotac
1333	Cãpcãun mare
1334	Duhul tigrului galben
1335	Gen. broascã-bou mare
1401	Distrugãtor
1402	Luptãtor cu securea
1403	Miria-luptãtor
1501	Golem de piatrã
1502	Golem de piatrã
1503	Golem de stânca
1601	Cãpcãun rãzboinic
1602	Capcaun mãcelar
1603	Berserker cãpcãun
1901	Vulpea cu nouã cozi
2001	Pui de pãianjen
2002	Pãianjen otrãvitor
2003	Pãianjen otrãvitor roºu
2004	Pãianjen ghearã toxic
2005	Pãianjen soldat
2031	Pui de pãianjen otrãvit
2032	Pãianjen otrãvitor mortal
2033	Pãianjen otrãvit mortal roºu
