AFF_LOVE_POINT	Punct de dragoste: %d%%
ALIGNMENT_NAME	Puncte de grad:
CANNOT_ATTACK_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_ATTACK_SELF_IN_SAFE	Nu pot ataca.
CANNOT_EQUIP_IN_EXCHANGE	Nu poþi schimba echipamentul când negociezi.
CANNOT_EQUIP_IN_SHOP	Nu poþi schimba echipamentul când negociezi.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nu poþi deschide magazinul într-un spaþiu public.
CANNOT_SHOOT_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_SHOOT_EMPTY_ARROW	Am nevoie de o sãgeatã.
CANNOT_SHOOT_SELF_IN_SAFE	Nu pot face asta.
CANNOT_SKILL_APPROACH	Sunt sigur ca nu ma pot apropia mai mult de atat.
CANNOT_SKILL_ATTACK	Nu pot ataca.
CANNOT_SKILL_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_SKILL_EQUIP_FISHING_ROD	Nu poþi pescui fãrã sã ai echipatã o undiþã.
CANNOT_SKILL_HAVE_TO_RIDE	Am nevoie de un cal pentru a folosi asta.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nu am nicio sticlã goalã.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nu am nicio sticlã cu otravã.
CANNOT_SKILL_NEED_TARGET	Care este þinta?
CANNOT_SKILL_NOT_ENOUGH_HP	Nu am destule PV!
CANNOT_SKILL_NOT_ENOUGH_SP	Nu am destule PM!
CANNOT_SKILL_NOT_HORSE_SKILL	Nu pot folosi asta în timp ce cãlãresc.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Aceastã abilitate nu o pot folosi la aceastã armã.
CANNOT_SKILL_NOT_YET_LEARN	Nu am învatat aceastã abilitate.
CHARACTER_CREATE_MODE	Creeazã Caracter
CHARACTER_SELECT_MODE	Selecteazã Caracter
CHARACTER_CREATE_MALE	Masculin
CHARACTER_CREATE_FEMALE	Feminin
CHARACTER_CREATE_APPEARANCE1	Aspect 1
CHARACTER_CREATE_APPEARANCE2	Aspect 2
MAINTENANCE_DESCRIPTION	<TEXT text="Mentenanþã în " font_size="LARGE"><TEXT text="%s" r=255 g=0 b=0 font_size="LARGE"><TEXT text=" Duratã estimatã: %s" font_size="LARGE">
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Are efect doar asupra membrilor grupului.
CANNOT_SKILL_ONLY_FOR_CORPSE	Are efect doar asupra morþilor.
