STORAGE_BOOKS	Cãrþi
STORAGE_CHESTS	Cufere
STORAGE_MATERIAL	Materiale
STORAGE_STONES	Pietre
ACCEPT	OK
ATTACH_METIN_INFO	Doreºti sã utilizezi piatra spiritului?
ATTACH_METIN_TITLE	Foloseºte piatra spiritului
BANNER_FISH_BUTTON	Pescuit Jigsaw
CANCEL	Anulare
UPGRADE	Pastreazã fereastra deschisã
CHANGE_PASSWORD_CONFIRM	Confirmã noua parolã
CHANGE_PASSWORD_NEW	Parolã nouã
CHANGE_PASSWORD_OLD	Parolã veche
CHANGE_PASSWORD_TITLE	Schimbare parolã
CHARACTER_ACTION	Acþiuni
CHARACTER_EMOTICON	Emoþie
CHARACTER_MAIN	Caracter
CHARACTER_MUTUAL_ACTION	Acþiuni interactive
CHARACTER_NORMAL_ACTION	Acþiuni normale
CHARACTER_QUEST	Misiuni
CHARACTER_SKILL	Abilitate
CHEST_DROP_TITLE	Vizualizare drop
CHEST_OPEN_COUNT	Deschide %d cufere
CLOSE	Închide
COSTUME_TITLE	Costume
COSTUME_WINDOW_TITLE	Costume
CREATE_ATT_GRADE	STR
CREATE_CREATE	Creeazã
CREATE_DEX_GRADE	DEX
CREATE_HP	VIT
CREATE_LAST_POINT	Puncte
CREATE_MAN	Bãrbat
CREATE_NAME	Nume
CREATE_NEXT	Continuã
CREATE_PREV	Înapoi
CREATE_SEX	Sex
CREATE_SHAPE	Aspect
CREATE_SP	INT
CREATE_STAT_RESET	Reseteazã
CREATE_WOMAN	Femeie
CUBE_INFO_TITLE	Manualul îmbunãtãþirii
CUBE_REQUIRE_MATERIAL	Materiale necesare
CUBE_REQUIRE_MATERIAL_OR	sau
CUBE_TITLE	Fereastra rafinament
DESTROY	ªterge
DO_REFINE	Rafineazã
DRAGONSOUL_ACTIVATE	Activeazã
DRAGONSOUL_PAGE_BUTTON_1	Brut
DRAGONSOUL_PAGE_BUTTON_2	Taiat
DRAGONSOUL_PAGE_BUTTON_3	Rar
DRAGONSOUL_PAGE_BUTTON_4	Antic
DRAGONSOUL_PAGE_BUTTON_5	Legendar
DRAGONSOUL_REFINE_WINDOW_TITLE	Fereastrã rafinament
DRAGONSOUL_TAP_TITLE_1	Diamant dragon
DRAGONSOUL_TAP_TITLE_2	Rubin dragon
DRAGONSOUL_TAP_TITLE_3	Jad dragon
DRAGONSOUL_TAP_TITLE_4	Ametist dragon
DRAGONSOUL_TAP_TITLE_5	Granat dragon
DRAGONSOUL_TAP_TITLE_6	Onyx dragon
DRAGONSOUL_TITLE	Alchimie piatrã dragon
DROP_ITEM	Vrei sã arunci acest obiect?
EMPIRE_EXIT	Sfârºit
EMPIRE_NEXT	Continuã
EMPIRE_PREV	Înapoi
EMPIRE_SELECT	Alege
EXCHANGE_ACCEPT	Acceptã
CHARACTER_CREATE_MODE	Creeazã Caracter
CHARACTER_SELECT_MODE	Selecteazã Caracter
CHARACTER_CREATE_MALE	Masculin
CHARACTER_CREATE_FEMALE	Feminin
CHARACTER_CREATE_APPEARANCE1	Aspect 1
CHARACTER_CREATE_APPEARANCE2	Aspect 2
EXCHANGE_TITLE	Negociazã
GAMEOPTION_TITLE	Opþiuni joc
GAME_EXIT_OBSERVER	Închide modul spectator
GAME_QUEST	Sarcini
GAME_SKILL_UP	Creºte Abilitãþile
GAME_STAT_UP	Creºte statusul
GRADE	Clasa
GRADE_SELECT	Clasa
GUILD_BASENAME	Nume bazã
GUILD_BOARD_ID	Nume
GUILD_BOARD_REFRESH	Actualizeazã
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_CATEGORY_TITLE	Unitãþi de construcþie
GUILD_BUILDING_CHANGE	Schimbã
GUILD_BUILDING_DIRECTION	Orientare
GUILD_BUILDING_GRADE	Grad
GUILD_BUILDING_INFO	Informaþii clãdire si costuri
GUILD_BUILDING_LIST_TITLE	Listã de clãdiri
GUILD_BUILDING_LOG	Buºtean
GUILD_BUILDING_NAME	Nume clãdire
GUILD_BUILDING_OPERATE	Opereazã
GUILD_BUILDING_PLY	Placaj
GUILD_BUILDING_POSITION	Poziþie
GUILD_BUILDING_PREVIEW	Preview
GUILD_BUILDING_PRICE	Preþ
GUILD_BUILDING_REFRESH	Actualizeazã
GUILD_BUILDING_STONE	Piatrã
GUILD_BUILDING_TITLE	Construcþie casa breslei
GUILD_CRYSTAL	Cristal
GUILD_DEPOSIT	Plãteºte
GUILD_DROP_RESOURCE1	Aici
GUILD_DROP_RESOURCE2	Aruncã resursa
GUILD_GEM	Piatrã preþioasã
GUILD_GRADE_CHANGE_GRADE_NAME	Nume rang nou
GUILD_GRADE_NUM	Nr.
GUILD_GRADE_PERMISSION_DELETE	Concediazã
GUILD_GRADE_PERMISSION_JOIN	Invitã
GUILD_GRADE_PERMISSION_NOTICE	Scrie
GUILD_GRADE_PERMISSION_SKILL	Aptitudini
GUILD_GRADE_RANK	Poziþie
GUILD_GRADE_WRITE	Scrie
GUILD_INFO	Informaþii breaslã
GUILD_INFO_CUR_EXP	Experienþã
GUILD_INFO_DECALRE_WAR	Declarã rãzboi
GUILD_INFO_ENEMY_GUILD	Breaslã inamicã
GUILD_INFO_ENEMY_GUILD_EMPTY	Niciuna
GUILD_INFO_LEVEL	Nivel breaslã
GUILD_INFO_MARK	Simbol breaslã
GUILD_INFO_MASTER	Conducãtor
GUILD_INFO_MASTER_VALUE	Conducãtor
GUILD_INFO_MEMBER_AVG_LEVEL	Nivel mediu
GUILD_INFO_MEMBER_NUM	Nr. membrii
GUILD_INFO_NAME	Nume breaslã
GUILD_INFO_NAME_VALUE	Acesta este un nume de breaslã
GUILD_INFO_OFFER_EXP	Invest.
GUILD_INFO_REST_EXP	Exp. necesarã
GUILD_INFO_UPLOAD_MARK	Upload simbol
GUILD_INFO_UPLOAD_SYMBOL	Upload steag
GUILD_MARK	Simbol breaslã
GUILD_MEMBER_JOB	Clasã
GUILD_MEMBER_KNIGHT	Combatant
GUILD_MEMBER_LEVEL	Nivel
GUILD_MEMBER_NAME	Nume
GUILD_MEMBER_RANK	Grad
GUILD_MEMBER_SPECIFIC_GRAVITY	Investi.
GUILD_METIN_STONE	Piatra spiritului
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Alianþã
GUILD_RESOURCE_INFO	Informaþii resurse
GUILD_SKILL_ACTIVE	Activ
GUILD_SKIlL_HEAL_GSP	Încarcã
GUILD_SKILL_PASSIVE	Pasiv
GUILD_SKILL_POWER	Energie
GUILD_SKILL_STATE	Competenþa breslei
GUILD_SYMBOL	Steag breaslã
GUILD_WAR_ACCEPT	Acceptã declaraþia de rãzboi a breslei
GUILD_WAR_BATTLE_TYPE	Stil de luptã
GUILD_WAR_CTF	Steag
GUILD_WAR_DECLARE	Declarã rãzboi breaslã
GUILD_WAR_ENEMY	Inamic
GUILD_WAR_NORMAL	Camp
GUILD_WAR_WARP	Arena
GUILD_WATER	Apã
GUILD_WATER_STONE	Piatrã acvaticã
GUILD_WITHDRAW	Ia
HELP_ATTACK_KEY	Atac: buton stânga mouse sau space
HELP_CHANGE_PK_MODE	Schimbare mod de atac: schimbã setãrile butonului stînga de la mouse.
HELP_CHARACTER_BUTTON1	(Fereastrã caracter, Fereastrã inventar,
HELP_CHARACTER_BUTTON2	Lista prieteni ºi Opþiuni)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Camerã vedere standard: butonul din mijloc al mouse-ului
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Camerã vedere alternativã: botonul drept sau stâng al mouse-ului
HELP_EXP	Experienþã
HELP_FURY	Magazin obiecte în joc
HELP_GUILD_WINDOW	Pentru a deschide fereastra breslei: ALT + G
HELP_HELP	Ajutor: H
HELP_HP	Puncte de viaþã (PV)
HELP_MESSENGER_WINDOW	Deschide lista de prieteni: ALT + M
HELP_MOUSE_LEFT	Funcþie buton maus stâng
HELP_MOUSE_RIGHT	Funcþie buton maus drept
HELP_MOVE_KEY	Panou control: W, A, S, D sau sãgeþile de pe tastaturã
HELP_OPEN_CHARACTER	Pentru a deschide fereastra caracterului: C
HELP_OPEN_CHAT	Pentru a deschide fereastra de chat: Enter
HELP_OPEN_INVENTORY	Pentru a deschide inventarul: I
HELP_OPEN_LOG	Pentru a deschide logul de chat: L
HELP_OPEN_MINIMAP	Pentru a deschide mini-harta: SHIFT + M
HELP_OPEN_QUEST	Pentru a deschide fereastra cu sarcini: N
HELP_OPEN_SKILL	Pentru a deschide fereastra pentru aptitudini: V
HELP_OPEN_WHISPER	Pentru a deschide fereastra pentru ºoaptã: SHIFT + ENTER
HELP_OPEN_ZONEMAP	Pentru a deschide harta mare: M
HELP_PICK_ITEM	Adunã obiectele: ` sau Z sau butonul stâng al mouse-ului
HELP_QUICKSLOT	Câmp acces rapid
HELP_SCREEN_CAPTURE	Pentru a salva screenshoturile: Print (se va salva în "Metin2\screenshot")
HELP_SHOW_ALL_NAME	Afiºeazã nume: ALT
HELP_SP	Puncte de mana (PM)
HELP_SYSTEM_BUTTON	Taste sistem
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. Inventar
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. Inventar
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3. Inventar
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4. Inventar
INVENTORY_TITLE	Inventar
ITEM_MALL	Magazin de obiecte
LANGUAGE_CHANGED	Ai schimbat limba cu succes.
LOAD_ERROR	Fiºierul cu date este stricat. Instaleazã din nou clientul. Apasã acum tasta ESC.
LOGIN_CHANGE_CHANNEL	Alege canalul
LOGIN_CONNECT	Conecteazã
LOGIN_CONNECTING	Conectarea la server ruleazã.
LOGIN_DEFAULT_SERVERADDR	Nume server, Canal 1
LOGIN_EXIT	Închide
LOGIN_ID	Nume utilizator
LOGIN_PASSWORD	Parolã
LOGIN_REGION_TITLE	Alege regiunea pentru facturã
LOGIN_SELECT_BUTTON	Alege
LOGIN_SELECT_EXIT	Închide
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Alege server
MALL_PASSWORD_TITLE	Parola
MALL_TITLE	Depozit Magazin Obiecte
MARKET_TITLE	Magazin
MARKLIST_REFRESH	Actualizeazã
MARKLIST_TITLE	Înregistreazã simbolul breslei
MESSAGE	Acesta este un mesaj
MESSENGER_ADD_FRIEND	Adaugã prieten
MESSENGER_DELETE_FRIEND	ªterge prieten
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s te-a acceptat ca prieten.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Accepþi?
MESSENGER_DO_YOU_DELETE	ªterge?
MESSENGER_DO_YOU_MOVE	Mai departe?
MESSENGER_EMPTY_LIST	Gol
MESSENGER_FAMILY	Familie
MESSENGER_FRIEND	Prieteni
MESSENGER_GUILD	Breaslã
MESSENGER_MOBILE	Trimite SMS
MESSENGER_OPEN_GUILD	Deschide fereastra breslei
MESSENGER_TITLE	Prieteni
